Sigla,Código,Município,Produção - algodão - herbáceo (caroço) (2001),Produção - arroz (2001),Produção - café (2001),Produção - cana-de-açúcar (2001),Produção - laranja (2001),Produção - mandioca (2001),Produção - milho (2001),Produção - soja (2001),
AM,1303809,São Gabriel da Cachoeira,,,,1168.09560635481,22.9447351248266,2536.43617379902,2.08588501134787,,
AM,1303908,São Paulo de Olivença,,,,208.588501134787,112.637790612785,5953.11582238684,89.6930554879586,,
AM,1303957,São Sebastião do Uatumã,,0,2.08588501134787,,16.687080090783,1203.55565154772,2.08588501134787,,
AM,1304005,Silves,,,2.08588501134787,,64.6624353517841,7438.26595046652,41.7177002269575,,
AM,1304062,Tabatinga,,,,,,1095.08963095763,4.17177002269575,,
AM,1304104,Tapauá,,0,0,,,1151.40852626403,2.08588501134787,,
AM,1304203,Tefé,,8.3435400453915,,100.122480544698,4.17177002269575,40430.7091749559,83.435400453915,,
AM,1304237,Tonantins,,,,,0,1493.49366812508,60.4906653290884,,
AM,1304260,Uarini,,,,2.08588501134787,,10058.1375247195,,,
AM,1304302,Urucará,,31.2882751702181,,22.9447351248266,123.067215669525,2711.65051475224,58.4047803177405,,
AM,1304401,Urucurituba,,,0,6.25765503404363,20.8588501134787,2505.1478986288,35.4600451929139,0,
AP,1600055,Serra do Navio,,83.435400453915,,112.637790612785,8.3435400453915,1314.10755714916,52.1471252836969,,
AP,1600105,Amapá,,16.687080090783,,,12.5153100680873,1460.11950794351,22.9447351248266,,
AP,1600154,Pedra Branca do Amaparí,,250.306201361745,,129.324870703568,39.6318152156096,4780.84844600933,68.8342053744799,,
AP,1600204,Calçoene,,81.3495154425671,,,41.7177002269575,3324.90070808851,102.208365556046,,
AP,1600212,Cutias,,,,,,567.360723086622,18.7729651021309,,
AP,1600238,Ferreira Gomes,,54.2330102950447,,,12.5153100680873,1576.92906857899,18.7729651021309,,
AP,1600253,Itaubal,,,,,,803.065729368932,12.5153100680873,,
AP,1600279,Laranjal do Jari,,110.551905601437,,,39.6318152156096,4380.35852383054,83.435400453915,,
AP,1600303,Macapá,,54.2330102950447,,225.275581225571,64.6624353517841,5423.30102950448,102.208365556046,,
AP,1600402,Mazagão,,56.3188953063926,,208.588501134787,33.374160181566,4964.40632700794,50.061240272349,,
AP,1600501,Oiapoque,,20.8588501134787,,,350.428681906443,7283.91045962678,20.8588501134787,,
AP,1600535,Porto Grande,,95.9507105220023,,112.637790612785,588.219573200101,5218.88429839238,35.4600451929139,,
AP,1600550,Pracuúba,,35.4600451929139,,,12.5153100680873,1118.03436608246,29.2023901588703,,
AP,1600600,Santana,,16.687080090783,,,31.2882751702181,2628.21511429832,12.5153100680873,,
AP,1600709,Tartarugalzinho,,586.133688188753,,,47.9753552610011,6176.30551860106,400.489922178792,,
AP,1600808,Vitória do Jari,,52.1471252836969,,,20.8588501134787,1314.10755714916,10.4294250567394,,
BA,2900108,Abaíra,,22.9447351248266,579.876033154709,11889.5445646829,35.4600451929139,677.912628688059,22.9447351248266,,
BA,2900207,Abaré,,29.2023901588703,,,,123.067215669525,,,
BA,2900306,Acajutiba,,,,,938.648255106544,150.183720817047,6.25765503404363,,
BA,2900355,Adustina,,,,,,54.2330102950447,9705.62295780166,,
BA,2900405,Água Fria,,,,,2.08588501134787,4749.56017083911,123.067215669525,,
BA,2900504,Érico Cardoso,37.5459302042618,25.0306201361745,18.7729651021309,792.636304312192,16.687080090783,312.882751702181,47.9753552610011,,
BA,2900603,Aiquara,,,,329.569831792964,10.4294250567394,66.748320363132,8.3435400453915,,
BA,2900702,Alagoinhas,,,,,4067.47577212836,1868.9529701677,20.8588501134787,,
BA,2900801,Alcobaça,,2.08588501134787,1656.19269901021,2004.53549590531,1568.5855285336,6424.52583495146,95.9507105220023,,
BA,2900900,Almadina,,,,143.926065783003,,473.495897575968,,,
BA,2901007,Amargosa,,,1802.20464980456,467.238242541924,29.2023901588703,3201.83349241899,6.25765503404363,,
BA,2901106,Amélia Rodrigues,,,,2690.79166463876,429.692312337662,35.4600451929139,8.3435400453915,,
BA,2901155,América Dourada,,,4.17177002269575,,,27.1165051475224,1647.84915896482,,
BA,2901205,Anagé,85.5212854652629,,,266.993281452528,,225.275581225571,89.6930554879586,,
BA,2901304,Andaraí,,,329.569831792964,,,1063.80135578742,54.2330102950447,,
BA,2901353,Andorinha,,,,,,629.937273427058,47.9753552610011,,
BA,2901403,Angical,,83.435400453915,,175.214340953221,433.864082360358,50601.4844902881,832.268119527802,,
BA,2901502,Anguera,,,,,,225.275581225571,8.3435400453915,,
BA,2901601,Antas,,,,,,876.071704766107,1234.84392671794,,
BA,2901700,Antônio Cardoso,,,,,,1261.96043186546,196.0731910667,,
BA,2901809,Antônio Gonçalves,,,25.0306201361745,18.7729651021309,4.17177002269575,3783.79541058505,60.4906653290884,,
BA,2901908,Aporá,,,,,281.594476531963,2202.69457198336,54.2330102950447,,
BA,2901957,Apuarema,,,,,45.8894702496533,1407.97238265982,16.687080090783,,
