Valor da produção - total
Sigla;Código;Município;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
AL;2701209;Cacimbinhas;1162,7961485286;1418,1090595868;1515,4900610752;481,6386694484;1281,1429618386;1141,21688017955;1376,71288364772;1286,04588993846;1235,98845744228;715,201558765166;257,349416378449;321,226291747573;733,3018737718;96,5766229186874;1464,9633977654;1826,80264054745;1793,07864200441;1054,30275746243;2840,17332426217;1636,10817548997;1245;888,1208482258;12,8290133576;357,2082123602;289,9083635024;427,2484688853;9,5157616016;38,550848833;1,1712078443;52,2538278045;83,3786383183415;697,410090134483;11,6088828203818;
AL;2701308;Cajueiro;21262,741694599;22095,8750623982;25912,8667587574;17526,41765538;33713,033599542;20021,2882876213;11613,2862700939;12295,7874897268;18066,0312862814;15374,4495082552;19109,3228916103;15381,3160736792;17517,5559016833;15883,5242417476;8999,94391201019;8962,84035689067;9890,89661126698;10215,2191542368;12046,0116452627;12246,4160650492;10690;14137,9237731076;11382,7559184117;13920,7779507323;10888,8991187266;1128,8137717258;1120,9567166652;3180,750987837;4377,9749220261;3677,4333653785;3595,30799280292;3678,44143926354;3785,7856753134;
AL;2701357;Campestre;;;;;;;;4185,0526964594;3494,24236822746;3173,11091572145;15962,4361685264;36261,0250372715;16432,8010573214;25311,4007756374;11011,9506038779;8049,43903661695;8546,4244213944;8349,62219805477;9972,60367154899;9928,32509142586;8344;10941,7965625487;9018,7963903863;9430,6150318883;8786,5102230982;7019,7677809142;6592,519637569;7508,2367488957;5043,2209775935;4794,4291683384;3623,27677654261;5891,10799029262;4493,06761011074;
AL;2701407;Campo Alegre;65024,6180710975;60610,1079702431;63677,6018770028;40353,3106417783;81027,2094972248;47869,0488350843;40457,3130712544;40702,2717057204;56507,8472886894;36658,8478971065;56287,2837542127;59212,0178171321;61430,1797675776;52156,371718656;48906,2886207587;45132,0942124541;50121,3304851795;52340,4996783928;53488,573490232;54417,6735108293;48818;65659,0881981967;55742,0630387321;54899,4813147894;45547,3333233966;38766,4549745525;39756,8519713671;36918,8628990323;33796,3735553735;36107,9568819992;32924,0078777299;56149,4479797431;41018,9125492617;
AL;2701506;Campo Grande;4208,2239674701;1182,8925674286;2016,6808230377;1321,9395895544;1809,8251039002;1548,05552628586;1196,25580376155;1021,2717361276;1076,33994835599;1871,44407876885;2266,48082494704;2098,40032141596;765,597552150351;1506,92834036917;1444,87423724752;1018,4065114233;678,971927550879;931,53280851422;1453,24722736725;1262,04765823083;542;224,3382184188;176,1851167776;168,6595568382;251,5489871612;329,8659928312;347,6424905108;1114,3031067432;667,588471256;679,299761458;322,432582357637;452,336263279996;289,362153263591;
AL;2701605;Canapi;2656,8972800458;851,0910364757;2156,3939752405;470,3074009455;13677,7861608608;5361,30588724835;4700,61587122848;6195,17484375817;4591,18212420748;2476,98139852336;4135,6502702221;2475,94550846993;4017,96233944911;706,00841581937;1171,35259019638;3068,1653797541;3017,65301133724;2600,95098029446;4485,40277141773;2193,40413453691;1494;1477,1240718932;153,9481602911;208,4377542057;376,9546405846;144,7021299114;57,0945696094;663,3193672211;252,9808943707;377,0141769548;252,77447945877;682,939064167838;267,434263491759;
AL;2701704;Capela;49036,2969431731;53736,0469483449;55233,3589124339;37254,7408376013;72650,2225644053;43076,6274953575;25589,9781670841;25553,4076198276;25566,9362373842;26691,322173116;44024,8098088817;39959,2991623912;32071,5083756879;28268,6435739751;25233,530930497;21960,469223022;23702,0478042265;24503,3630065697;27499,9985739191;27961,2947234664;23864;31185,7819678447;25102,1028030194;34741,4820168322;23538,6411475813;19425,0608044544;16591,6819285007;8941,9611745406;8411,0291339033;9256,7936890162;12213,3873749348;14098,9805571163;9334,40170483292;
AL;2701803;Carneiros;3896,852962202;4803,9818530188;2649,2295655761;995,9519138491;4297,8079460049;2096,25336298842;934,301978120335;1896,64750995126;1375,03715890454;998,898177075348;130,932159210088;642,452583495146;6170,37431609017;181,497446519602;1506,68703884099;1265,81600289902;560,421273534059;689,789919348166;1097,2074743053;452,125320861044;411;267,7287380306;31,6448996154;276,0606897305;115,8158093381;111,7841098368;22,8378278438;67,3110058988;55,6323726047;100,0127026795;210,55744739885;754,82738671182;585,173685871838;
AL;2701902;Chã Preta;11017,6627838596;7573,1266473269;4565,8555719261;6795,2705475071;7860,2762143414;4054,59532051708;2782,53174792224;3779,78613450401;2817,02369258721;1709,33172544875;1289,00453291311;2377,90891293658;1493,20018856123;1730,05364159511;2243,8046978432;1670,01406746109;1464,37001041231;1239,09051567313;1354,34729596115;1318,42779416554;1411;1321,1028417995;1701,1271712165;1470,9977386504;1776,3341967274;2099,2095718424;3940,7940712643;6564,6588298414;7341,1307681273;7204,2858076216;8152,10889077051;8609,32683557582;9694,27707226476;
AL;2702009;Coité do Nóia;55372,9693420626;4250,0039088166;12033,4933255133;5794,5409474287;10405,5078753713;5388,88816834031;4074,83728775224;5449,48436976024;6831,41120332162;6932,68710963034;4918,98577446176;2244,41227221031;3474,63504437467;3260,29358059983;1463,41807772556;1212,59419368622;1141,05004491189;1212,51145456063;1895,38809718275;1498,41053580327;1580;1491,8953126121;4567,9840228595;3098,7215749287;3043,6689766185;2750,0262604011;1905,6898567415;4167,7751016079;2625,8479869402;3338,6262883238;4044,39167134031;5586,28283041457;5791,97261012457;
