percentage_votos_centrao,ibge,municipio,pib_per_capita,uf,taxa_analfabetismo,Year
0.2590422822210901,1501782,BREU BRANCO,4197.44,PA,25.4,2002
0.2339517234109834,1501808,BREVES,2140.86,PA,33.3,2002
0.1393307734503565,1501907,BUJARU,3681.74,PA,22.3,2002
0.2696526508226691,1501956,CACHOEIRA DO PIRIA,1545.17,PA,47.3,2002
0.4315376796863656,1502004,CACHOEIRA DO ARARI,1985.63,PA,18.7,2002
0.1560716446174482,1502103,CAMETA,2235.01,PA,15.6,2002
0.3603396832683039,1502152,CANAA DOS CARAJAS,5788.58,PA,18.6,2002
0.2068654274673511,1502202,CAPANEMA,3943.62,PA,16.6,2002
0.2068654274673511,1502202,CAPANEMA,3943.62,PA,8.8,2002
0.123979121891311,1502301,CAPITAO POCO,1627.31,PA,34.4,2002
0.3338500919349605,1502400,CASTANHAL,3468.83,PA,12.0,2002
0.5291666666666667,1502509,CHAVES,2174.3,PA,35.3,2002
0.2497893850042123,1502608,COLARES,1402.58,PA,13.8,2002
0.6030325627641064,1502707,CONCEICAO DO ARAGUAIA,2753.88,PA,21.6,2002
0.3401505646173149,1502756,CONCORDIA DO PARA,1685.32,PA,27.8,2002
0.2073595226255594,1502764,CUMARU DO NORTE,6203.01,PA,21.0,2002
0.3111823449636296,1502772,CURIONOPOLIS,2277.54,PA,25.3,2002
0.2883402414849522,1502806,CURRALINHO,1391.31,PA,32.9,2002
0.042624789680314,1502855,CURUA,2257.38,PA,16.7,2002
0.1493333333333333,1502905,CURUCA,1562.88,PA,11.2,2002
0.2272106520996927,1502939,DOM ELISEU,3307.28,PA,27.1,2002
0.3357854406130268,1502954,ELDORADO DO CARAJAS,1603.88,PA,,2002
0.1263375906109768,1503002,FARO,1136.71,PA,13.6,2002
0.2853112657513635,1503044,FLORESTA DO ARAGUAIA,3150.83,PA,23.6,2002
0.1428972487366648,1503077,GARRAFAO DO NORTE,1587.1,PA,40.2,2002
0.3908045977011494,1503093,GOIANESIA DO PARA,2733.11,PA,28.6,2002
0.4127317243791535,1503101,GURUPA,1596.11,PA,34.8,2002
0.2163431879656432,1503309,IGARAPE-MIRI,1820.21,PA,24.0,2002
0.3654810761513908,1503408,INHANGAPI,1991.78,PA,24.8,2002
0.6572547739513628,1503457,IPIXUNA DO PARA,3823.16,PA,36.8,2002
0.3403782894736842,1503507,IRITUIA,1544.84,PA,21.1,2002
0.2286466343310067,1503606,ITAITUBA,2722.43,PA,20.1,2002
0.2251074951521794,1503705,ITUPIRANGA,1467.6,PA,31.9,2002
0.0249746878164022,1503754,JACAREACANGA,1058.19,PA,35.1,2002
0.4362296445976465,1503804,JACUNDA,2412.5,PA,25.8,2002
0.0440166392570378,1503903,JURUTI,2079.2,PA,15.0,2002
0.1935569402094657,1504000,LIMOEIRO DO AJURU,3557.79,PA,22.2,2002
0.3391082337922859,1504059,MAE DO RIO,2120.82,PA,21.5,2002
0.2166586422725084,1504109,MAGALHAES BARATA,1452.09,PA,16.9,2002
0.1690424310972871,1504208,MARABA,4404.84,PA,16.7,2002
0.3930344142951688,1504307,MARACANA,1411.2,PA,16.5,2002
0.2060389133627019,1504406,MARAPANIM,1710.43,PA,11.3,2002
0.2562523329600597,1504422,MARITUBA,2996.11,PA,8.9,2002
0.5035120147874307,1504455,MEDICILANDIA,6030.37,PA,22.0,2002
0.1428939901986071,1504505,MELGACO,1171.89,PA,42.0,2002
