,nm_municipio,0,sg_uf
385,AUTAZES,0.09932947672889823,AM
386,AVANHANDAVA,0.4739551163269508,SP
387,AVARÉ,0.3227510418602182,SP
388,AVAÍ,0.45992162451015317,SP
389,AVEIRO,0.07574022574840504,PA
390,AVELINO LOPES,0.6365210698479892,PI
391,AVELINÓPOLIS,0.10161290322580645,GO
392,AXIXÁ,0.3397113669531377,MA
393,AXIXÁ DO TOCANTINS,0.2779564130046445,TO
394,AÇAILÂNDIA,0.2542386226444806,MA
395,AÇUCENA,0.15421227986673014,MG
396,BABAÇULÂNDIA,0.3996333638863428,TO
397,BACABAL,0.23127811590367822,MA
398,BACABEIRA,0.5353890979725628,MA
399,BACURI,0.42326213112729966,MA
400,BACURITUBA,0.15749764225086452,MA
401,BADY BASSITT,0.42105263157894735,SP
402,BAEPENDI,0.1290042454650714,MG
403,BAGRE,0.020816545796400753,PA
404,BAGÉ,0.06785813533416701,RS
405,BAIANÓPOLIS,0.38987892803700175,BA
406,BAIXA GRANDE,0.4558552328261872,BA
407,BAIXA GRANDE DO RIBEIRO,0.6802261948194089,PI
408,BAIXIO,0.7687753194141477,CE
409,BAIXO GUANDU,0.23282980866062436,ES
410,BAIÃO,0.03689098079124793,PA
411,BALBINOS,0.565410199556541,SP
412,BALDIM,0.3795955882352941,MG
413,BALIZA,0.2536986301369863,GO
414,BALNEÁRIO ARROIO DO SILVA,0.5343755252983695,SC
415,BALNEÁRIO BARRA DO SUL,0.41034685479129923,SC
416,BALNEÁRIO CAMBORIÚ,0.5158245419211549,SC
417,BALNEÁRIO GAIVOTA,0.6620926243567753,SC
418,BALNEÁRIO PINHAL,0.33834439672003125,RS
419,BALNEÁRIO PIÇARRAS,0.17577585123759265,SC
420,BALNEÁRIO RINCÃO,0.5273809523809524,SC
421,BALSA NOVA,0.37811090088778926,PR
422,BALSAS,0.09758769070282958,MA
423,BAMBUÍ,0.4033892382948987,MG
424,BANABUIÚ,0.48143632938047215,CE
425,BANANAL,0.2214832728738412,SP
426,BANANEIRAS,0.23358449946178686,PB
427,BANDEIRA,0.04680851063829787,MG
428,BANDEIRA DO SUL,0.04637268847795164,MG
429,BANDEIRANTE,0.291,SC
430,BANDEIRANTES,0.13742744804343757,MS
431,BANDEIRANTES DO TOCANTINS,0.2603448275862069,TO
432,BANNACH,0.04310344827586207,PA
433,BANZAÊ,0.5301346801346801,BA
434,BARAÚNA,0.03907357806837876,PB
435,BARBACENA,0.06258498039292963,MG
436,BARBALHA,0.2041938270635357,CE
437,BARBOSA,0.5407806191117093,SP
438,BARBOSA FERRAZ,0.19056395134537413,PR
439,BARCARENA,0.06523254280709025,PA
440,BARCELONA,0.357487922705314,RN
441,BARCELOS,0.1568627450980392,AM
442,BARIRI,0.48193119398670137,SP
443,BARRA,0.565932759522564,BA
444,BARRA BONITA,0.540778237971059,SC
445,BARRA D'ALCÂNTARA,0.3448773448773449,PI
446,BARRA DA ESTIVA,0.6774140347983838,BA
447,BARRA DE GUABIRABA,0.023902515231995002,PE
448,BARRA DE SANTA ROSA,0.05667543090855974,PB
449,BARRA DE SANTANA,0.3519897850606512,PB
450,BARRA DE SANTO ANTÔNIO,0.28459657701711494,AL
451,BARRA DE SÃO FRANCISCO,0.15888471951740846,ES
