Municipio,Total,UF
Acrelândia,88.35,AC
Assis Brasil,85.3,AC
Brasiléia,89.01,AC
Bujari,81.26,AC
Capixaba,84.27,AC
Cruzeiro do Sul,86.24,AC
Epitaciolândia,88.78,AC
Feijó,77.35,AC
Jordão,81.88,AC
Mâncio Lima,84.27,AC
Manoel Urbano,77.84,AC
Marechal Thaumaturgo,77.17,AC
Plácido de Castro,84.38,AC
Porto Walter,81.1,AC
Rio Branco,93.04,AC
Rodrigues Alves,79.96,AC
Santa Rosa do Purus,77.4,AC
Senador Guiomard,87.04,AC
Sena Madureira,82.41,AC
Tarauacá,78.51,AC
Xapuri,85.39,AC
Porto Acre,83.98,AC
Água Branca,77.11,AL
Anadia,71.28,AL
Arapiraca,84.74,AL
Atalaia,75.52,AL
Barra de Santo Antônio,78.71,AL
Barra de São Miguel,85.45,AL
Batalha,76.7,AL
Belém,76.03,AL
Belo Monte,72.95,AL
Boca da Mata,77.08,AL
Branquinha,67.1,AL
Cacimbinhas,70.03,AL
Cajueiro,72.56,AL
Campestre,76.71,AL
Campo Alegre,78.44,AL
Campo Grande,67.42,AL
Canapi,70.1,AL
Capela,76.2,AL
Carneiros,77.73,AL
Chã Preta,72.94,AL
Coité do Nóia,71.66,AL
Colônia Leopoldina,74.12,AL
Coqueiro Seco,81.46,AL
Coruripe,81.77,AL
Craíbas,71.09,AL
Delmiro Gouveia,82.52,AL
Dois Riachos,72.73,AL
Estrela de Alagoas,65.8,AL
Feira Grande,69.56,AL
Feliz Deserto,75.63,AL
Flexeiras,74.77,AL
Girau do Ponciano,69.76,AL
Ibateguara,70.22,AL
Igaci,71.01,AL
Igreja Nova,72.01,AL
Inhapi,71.31,AL
Jacaré dos Homens,76.23,AL
Jacuípe,75.88,AL
Japaratinga,80.06,AL
Jaramataia,68.76,AL
Jequiá da Praia,79.26,AL
Joaquim Gomes,69.39,AL
Jundiá,72.3,AL
Junqueiro,74.9,AL
Lagoa da Canoa,72.44,AL
Limoeiro de Anadia,73.79,AL
Maceió,91.58,AL
Major Isidoro,72.45,AL
Maragogi,81.12,AL
Maravilha,72.13,AL
Marechal Deodoro,86.53,AL
Maribondo,77.4,AL
Mar Vermelho,79.24,AL
Mata Grande,68.92,AL
Matriz de Camaragibe,76.66,AL
Messias,79.0,AL
Minador do Negrão,67.48,AL
Monteirópolis,73.54,AL
Murici,76.35,AL
Novo Lino,73.33,AL
Olho d'Água das Flores,79.95,AL
Olho d'Água do Casado,75.24,AL
Olho d'Água Grande,67.88,AL
Olivença,72.68,AL
Ouro Branco,76.55,AL
Palestina,78.08,AL
Palmeira dos Índios,81.17,AL
Pão de Açúcar,75.88,AL
Pariconha,77.76,AL
Paripueira,84.48,AL
Passo de Camaragibe,76.25,AL
Paulo Jacinto,74.89,AL
Penedo,82.05,AL
Piaçabuçu,77.17,AL
Pilar,82.51,AL
Pindoba,76.64,AL
Piranhas,79.24,AL
Poço das Trincheiras,73.27,AL
Porto Calvo,78.87,AL
Porto de Pedras,77.92,AL
Porto Real do Colégio,72.69,AL
Quebrangulo,74.89,AL
Rio Largo,86.86,AL
Roteiro,74.97,AL
Santa Luzia do Norte,85.3,AL
Santana do Ipanema,79.03,AL
Santana do Mundaú,72.17,AL
São Brás,74.66,AL
São José da Laje,74.58,AL
São José da Tapera,73.01,AL
São Luís do Quitunde,75.28,AL
São Miguel dos Campos,84.12,AL
São Miguel dos Milagres,81.99,AL
São Sebastião,71.97,AL
Satuba,90.42,AL
Senador Rui Palmeira,74.42,AL
Tanque d'Arca,70.26,AL
Taquarana,74.1,AL
Teotônio Vilela,78.41,AL
Traipu,67.31,AL
União dos Palmares,76.77,AL
Viçosa,75.14,AL
Alvarães,87.63,AM
Amaturá,85.13,AM
Anamã,87.76,AM
Anori,86.82,AM
Apuí,91.81,AM
Atalaia do Norte,77.18,AM
Autazes,89.87,AM
Barcelos,78.71,AM
Barreirinha,93.96,AM
Benjamin Constant,87.3,AM
Beruri,82.99,AM
Boa Vista do Ramos,95.63,AM
Boca do Acre,80.16,AM
Borba,88.88,AM
Caapiranga,91.71,AM
Canutama,81.11,AM
Carauari,81.99,AM
Careiro,87.06,AM
Careiro da Várzea,87.09,AM
Coari,86.34,AM
Codajás,86.18,AM
Eirunepé,74.72,AM
Envira,73.69,AM
Fonte Boa,86.07,AM
Guajará,77.64,AM
Humaitá,88.74,AM
Ipixuna,75.84,AM
Iranduba,91.14,AM
Itacoatiara,93.93,AM
Itamarati,73.56,AM
Itapiranga,94.08,AM
Japurá,87.61,AM
Juruá,79.36,AM
Jutaí,84.1,AM
Lábrea,80.4,AM
Manacapuru,88.97,AM
Manaquiri,88.58,AM
Manaus,97.02,AM
Manicoré,89.56,AM
Maraã,84.33,AM
Maués,93.84,AM
Nhamundá,93.22,AM
Nova Olinda do Norte,91.02,AM
Novo Airão,89.57,AM
Novo Aripuanã,87.97,AM
Parintins,95.93,AM
Pauini,75.88,AM
Presidente Figueiredo,91.41,AM
Rio Preto da Eva,91.27,AM
Santa Isabel do Rio Negro,84.1,AM
Santo Antônio do Içá,85.63,AM
São Gabriel da Cachoeira,90.6,AM
São Paulo de Olivença,85.2,AM
São Sebastião do Uatumã,94.06,AM
Silves,94.49,AM
Tabatinga,90.45,AM
Tapauá,79.19,AM
Tefé,90.16,AM
Tonantins,86.88,AM
Uarini,88.07,AM
Urucará,94.23,AM
Urucurituba,93.7,AM
Serra do Navio,93.71,AP
Amapá,89.53,AP
Pedra Branca do Amapari,91.3,AP
Calçoene,89.9,AP
Cutias,89.41,AP
Ferreira Gomes,90.71,AP
Itaubal,89.11,AP
Laranjal do Jari,89.75,AP
Macapá,95.1,AP
Mazagão,87.56,AP
Oiapoque,93.63,AP
Porto Grande,90.15,AP
Pracuúba,89.87,AP
Santana,92.44,AP
Tartarugalzinho,88.79,AP
Vitória do Jari,87.4,AP
Abaíra,81.16,BA
Abaré,80.06,BA
Acajutiba,81.61,BA
Adustina,72.08,BA
Água Fria,79.98,BA
Érico Cardoso,75.83,BA
Aiquara,79.56,BA
Alagoinhas,92.47,BA
Alcobaça,83.37,BA
Almadina,76.95,BA
Amargosa,84.76,BA
Amélia Rodrigues,90.26,BA
América Dourada,82.51,BA
Anagé,74.18,BA
Andaraí,81.09,BA
Andorinha,80.78,BA
Angical,81.15,BA
Anguera,85.22,BA
Antas,81.69,BA
Antônio Cardoso,79.4,BA
Antônio Gonçalves,83.68,BA
Aporá,78.47,BA
Apuarema,76.12,BA
Aracatu,77.47,BA
Araçás,83.03,BA
Araci,73.16,BA
Aramari,83.53,BA
Arataca,75.54,BA
Aratuípe,81.58,BA
Aurelino Leal,79.36,BA
Baianópolis,77.44,BA
Baixa Grande,80.72,BA
Banzaê,79.17,BA
Barra,79.88,BA
Barra da Estiva,86.27,BA
Barra do Choça,77.71,BA
Barra do Mendes,88.82,BA
Barra do Rocha,73.78,BA
Barreiras,92.49,BA
Barro Alto,88.5,BA
Barrocas,83.42,BA
Barro Preto,80.47,BA
Belmonte,82.36,BA
Belo Campo,79.99,BA
Biritinga,78.08,BA
Boa Nova,72.87,BA
Boa Vista do Tupim,75.99,BA
Bom Jesus da Lapa,86.3,BA
Bom Jesus da Serra,77.57,BA
Boninal,85.33,BA
Bonito,86.02,BA
Boquira,79.45,BA
Botuporã,77.24,BA
Brejões,79.2,BA
Brejolândia,79.52,BA
Brotas de Macaúbas,88.24,BA
Brumado,88.07,BA
Buerarema,82.62,BA
Buritirama,78.08,BA
Caatiba,77.75,BA
Cabaceiras do Paraguaçu,79.5,BA
Cachoeira,86.81,BA
Caculé,85.95,BA
Caém,79.75,BA
Caetanos,75.91,BA
Caetité,84.55,BA
Cafarnaum,83.58,BA
Cairu,89.02,BA
Caldeirão Grande,78.89,BA
Camacan,83.88,BA
Camaçari,94.6,BA
Camamu,79.89,BA
Campo Alegre de Lourdes,79.36,BA
Campo Formoso,81.53,BA
Canápolis,77.64,BA
Canarana,86.9,BA
Canavieiras,83.63,BA
Candeal,81.08,BA
Candeias,92.81,BA
Candiba,81.0,BA
Cândido Sales,79.96,BA
Cansanção,79.81,BA
Canudos,81.83,BA
Capela do Alto Alegre,77.61,BA
Capim Grosso,85.15,BA
Caraíbas,72.91,BA
Caravelas,82.69,BA
Cardeal da Silva,83.27,BA
Carinhanha,81.37,BA
Casa Nova,84.07,BA
Castro Alves,82.53,BA
Catolândia,79.47,BA
Catu,91.2,BA
Caturama,75.89,BA
Central,85.19,BA
Chorrochó,82.01,BA
Cícero Dantas,75.98,BA
Cipó,81.78,BA
Coaraci,81.82,BA
Cocos,79.04,BA
Conceição da Feira,88.61,BA
Conceição do Almeida,85.13,BA
Conceição do Coité,85.83,BA
Conceição do Jacuípe,91.09,BA
Conde,83.98,BA
Condeúba,81.68,BA
Contendas do Sincorá,82.87,BA
Coração de Maria,84.3,BA
Cordeiros,76.01,BA
Coribe,79.18,BA
Coronel João Sá,68.29,BA
Correntina,81.2,BA
Cotegipe,76.68,BA
Cravolândia,80.84,BA
Crisópolis,77.16,BA
Cristópolis,77.79,BA
Cruz das Almas,91.31,BA
Curaçá,83.43,BA
Dário Meira,74.2,BA
Dias d'Ávila,93.47,BA
Dom Basílio,81.37,BA
Dom Macedo Costa,84.77,BA
Elísio Medrado,82.99,BA
Encruzilhada,74.11,BA
Entre Rios,87.62,BA
Esplanada,84.7,BA
Euclides da Cunha,78.36,BA
Eunápolis,89.55,BA
Fátima,75.06,BA
Feira da Mata,79.59,BA
Feira de Santana,93.4,BA
Filadélfia,82.32,BA
Firmino Alves,83.87,BA
Floresta Azul,78.06,BA
Formosa do Rio Preto,81.64,BA
Gandu,85.5,BA
Gavião,81.62,BA
Gentio do Ouro,81.85,BA
Glória,78.22,BA
Gongogi,80.26,BA
Governador Mangabeira,84.77,BA
Guajeru,78.26,BA
Guanambi,88.16,BA
Guaratinga,72.41,BA
Heliópolis,73.72,BA
Iaçu,78.08,BA
Ibiassucê,82.59,BA
Ibicaraí,82.81,BA
Ibicoara,87.23,BA
Ibicuí,80.89,BA
Ibipeba,84.22,BA
Ibipitanga,77.1,BA
Ibiquera,81.35,BA
Ibirapitanga,79.03,BA
Ibirapuã,84.3,BA
Ibirataia,77.84,BA
Ibitiara,81.05,BA
Ibititá,85.16,BA
Ibotirama,86.82,BA
Ichu,88.95,BA
Igaporã,81.64,BA
Igrapiúna,80.61,BA
Iguaí,75.94,BA
Ilhéus,90.86,BA
Inhambupe,79.28,BA
Ipecaetá,78.84,BA
Ipiaú,85.2,BA
Ipirá,77.45,BA
Ipupiara,87.4,BA
Irajuba,77.45,BA
Iramaia,83.23,BA
Iraquara,88.48,BA
Irará,83.86,BA
Irecê,91.69,BA
Itabela,82.0,BA
Itaberaba,87.87,BA
Itabuna,91.8,BA
Itacaré,86.28,BA
Itaeté,78.99,BA
Itagi,79.51,BA
Itagibá,81.04,BA
Itagimirim,77.64,BA
Itaguaçu da Bahia,80.96,BA
Itaju do Colônia,80.35,BA
Itajuípe,81.14,BA
Itamaraju,84.3,BA
Itamari,77.35,BA
Itambé,79.94,BA
Itanagra,82.03,BA
Itanhém,81.6,BA
Itaparica,92.54,BA
Itapé,81.56,BA
Itapebi,77.2,BA
Itapetinga,89.08,BA
Itapicuru,71.18,BA
Itapitanga,80.88,BA
Itaquara,78.57,BA
Itarantim,83.28,BA
Itatim,83.35,BA
Itiruçu,79.47,BA
Itiúba,80.34,BA
Itororó,79.13,BA
Ituaçu,78.52,BA
Ituberá,83.53,BA
Iuiu,80.03,BA
Jaborandi,80.08,BA
Jacaraci,81.4,BA
Jacobina,87.3,BA
Jaguaquara,80.73,BA
Jaguarari,84.32,BA
Jaguaripe,80.83,BA
Jandaíra,81.18,BA
Jequié,88.19,BA
Jeremoabo,73.77,BA
Jiquiriçá,80.51,BA
Jitaúna,76.89,BA
João Dourado,84.41,BA
Juazeiro,90.33,BA
Jucuruçu,72.98,BA
Jussara,79.22,BA
Jussari,81.84,BA
Jussiape,82.57,BA
Lafaiete Coutinho,75.29,BA
Lagoa Real,78.92,BA
Laje,79.08,BA
Lajedão,81.35,BA
Lajedinho,81.81,BA
Lajedo do Tabocal,81.77,BA
Lamarão,74.72,BA
Lapão,83.54,BA
Lauro de Freitas,96.32,BA
Lençóis,89.33,BA
Licínio de Almeida,84.05,BA
Livramento de Nossa Senhora,82.8,BA
Luís Eduardo Magalhães,95.32,BA
Macajuba,78.45,BA
Macarani,79.61,BA
Macaúbas,80.15,BA
Macururé,77.87,BA
Madre de Deus,95.57,BA
Maetinga,76.57,BA
Maiquinique,83.01,BA
Mairi,80.34,BA
Malhada,79.65,BA
Malhada de Pedras,80.36,BA
Manoel Vitorino,76.2,BA
Mansidão,88.6,BA
Maracás,81.72,BA
Maragogipe,82.4,BA
Maraú,84.14,BA
Marcionílio Souza,78.4,BA
Mascote,79.47,BA
Mata de São João,91.05,BA
Matina,75.02,BA
Medeiros Neto,83.19,BA
Miguel Calmon,83.51,BA
Milagres,81.88,BA
Mirangaba,80.88,BA
Mirante,75.89,BA
Monte Santo,72.34,BA
Morpará,81.07,BA
Morro do Chapéu,83.93,BA
Mortugaba,84.63,BA
Mucugê,84.75,BA
Mucuri,87.21,BA
Mulungu do Morro,84.1,BA
Mundo Novo,81.67,BA
Muniz Ferreira,82.57,BA
Muquém do São Francisco,81.01,BA
Muritiba,88.2,BA
Mutuípe,82.19,BA
Nazaré,84.94,BA
Nilo Peçanha,78.53,BA
Nordestina,78.46,BA
Nova Canaã,76.18,BA
Nova Fátima,83.24,BA
Nova Ibiá,78.48,BA
Nova Itarana,79.76,BA
Nova Redenção,82.01,BA
Nova Soure,77.07,BA
Nova Viçosa,86.53,BA
Novo Horizonte,88.01,BA
Novo Triunfo,78.88,BA
Olindina,77.76,BA
Oliveira dos Brejinhos,85.2,BA
Ouriçangas,80.26,BA
Ourolândia,78.43,BA
Palmas de Monte Alto,77.2,BA
Palmeiras,91.15,BA
Paramirim,82.6,BA
Paratinga,81.32,BA
Paripiranga,77.1,BA
Pau Brasil,82.17,BA
Paulo Afonso,87.62,BA
Pé de Serra,79.88,BA
Pedrão,84.74,BA
Pedro Alexandre,68.1,BA
Piatã,83.6,BA
Pilão Arcado,74.92,BA
Pindaí,80.68,BA
Pindobaçu,82.48,BA
Pintadas,80.26,BA
Piraí do Norte,81.49,BA
Piripá,77.78,BA
Piritiba,83.38,BA
Planaltino,73.81,BA
Planalto,77.92,BA
Poções,80.91,BA
Pojuca,91.31,BA
Ponto Novo,80.75,BA
Porto Seguro,91.53,BA
Potiraguá,85.36,BA
Prado,86.21,BA
Presidente Dutra,86.32,BA
Presidente Jânio Quadros,74.95,BA
Presidente Tancredo Neves,80.42,BA
Queimadas,82.14,BA
Quijingue,71.22,BA
Quixabeira,81.97,BA
Rafael Jambeiro,76.17,BA
Remanso,79.55,BA
Retirolândia,86.36,BA
Riachão das Neves,77.97,BA
Riachão do Jacuípe,85.1,BA
Riacho de Santana,78.52,BA
Ribeira do Amparo,69.27,BA
Ribeira do Pombal,81.99,BA
Ribeirão do Largo,73.99,BA
Rio de Contas,81.82,BA
Rio do Antônio,75.31,BA
Rio do Pires,82.26,BA
Rio Real,81.29,BA
Rodelas,87.44,BA
Ruy Barbosa,81.98,BA
Salinas da Margarida,91.26,BA
Salvador,96.55,BA
Santa Bárbara,81.94,BA
Santa Brígida,71.68,BA
Santa Cruz Cabrália,88.81,BA
Santa Cruz da Vitória,79.01,BA
Santa Inês,78.96,BA
Santaluz,82.93,BA
Santa Luzia,79.98,BA
Santa Maria da Vitória,81.65,BA
Santana,83.26,BA
Santanópolis,81.57,BA
Santa Rita de Cássia,83.93,BA
Santa Terezinha,79.06,BA
Santo Amaro,89.68,BA
Santo Antônio de Jesus,91.76,BA
Santo Estêvão,84.87,BA
São Desidério,82.12,BA
São Domingos,82.76,BA
São Félix,87.22,BA
São Félix do Coribe,85.72,BA
São Felipe,83.51,BA
São Francisco do Conde,91.79,BA
São Gabriel,84.97,BA
São Gonçalo dos Campos,90.03,BA
São José da Vitória,78.3,BA
São José do Jacuípe,78.32,BA
São Miguel das Matas,81.84,BA
São Sebastião do Passé,89.13,BA
Sapeaçu,87.04,BA
Sátiro Dias,78.74,BA
Saubara,88.77,BA
Saúde,81.51,BA
Seabra,89.17,BA
Sebastião Laranjeiras,78.4,BA
Senhor do Bonfim,87.45,BA
Serra do Ramalho,82.19,BA
Sento Sé,81.93,BA
Serra Dourada,80.58,BA
Serra Preta,79.78,BA
Serrinha,87.38,BA
Serrolândia,79.43,BA
Simões Filho,94.36,BA
Sítio do Mato,83.87,BA
Sítio do Quinto,71.81,BA
Sobradinho,86.84,BA
Souto Soares,85.85,BA
Tabocas do Brejo Velho,78.12,BA
Tanhaçu,78.83,BA
Tanque Novo,81.16,BA
Tanquinho,86.5,BA
Taperoá,80.53,BA
Tapiramutá,82.47,BA
Teixeira de Freitas,89.68,BA
Teodoro Sampaio,84.62,BA
Teofilândia,81.12,BA
Teolândia,77.34,BA
Terra Nova,89.61,BA
Tremedal,73.14,BA
Tucano,76.96,BA
Uauá,80.05,BA
Ubaíra,76.42,BA
Ubaitaba,84.08,BA
Ubatã,83.43,BA
Uibaí,88.11,BA
Umburanas,79.23,BA
Una,82.1,BA
Urandi,82.73,BA
Uruçuca,81.42,BA
Utinga,83.34,BA
Valença,85.17,BA
Valente,85.09,BA
Várzea da Roça,76.79,BA
Várzea do Poço,81.76,BA
Várzea Nova,80.39,BA
Varzedo,80.57,BA
Vera Cruz,91.86,BA
Vereda,79.41,BA
Vitória da Conquista,90.9,BA
Wagner,84.47,BA
Wanderley,82.75,BA
Wenceslau Guimarães,75.07,BA
Xique-Xique,83.19,BA
Abaiara,76.84,CE
Acarape,84.03,CE
Acaraú,78.75,CE
Acopiara,72.73,CE
Aiuaba,71.66,CE
Alcântaras,80.48,CE
Altaneira,77.1,CE
Alto Santo,79.67,CE
Amontada,80.23,CE
Antonina do Norte,73.35,CE
Apuiarés,79.72,CE
Aquiraz,86.13,CE
Aracati,84.66,CE
Aracoiaba,76.89,CE
Ararendá,77.29,CE
Araripe,73.17,CE
Aratuba,82.79,CE
Arneiroz,75.89,CE
Assaré,74.37,CE
Aurora,77.55,CE
Baixio,78.77,CE
Banabuiú,76.2,CE
Barbalha,87.61,CE
Barreira,79.95,CE
Barro,79.3,CE
Barroquinha,72.21,CE
Baturité,83.61,CE
Beberibe,80.03,CE
Bela Cruz,80.62,CE
Boa Viagem,75.66,CE
Brejo Santo,83.98,CE
Camocim,81.03,CE
Campos Sales,77.35,CE
Canindé,80.76,CE
Capistrano,79.61,CE
Caridade,77.47,CE
Cariré,77.0,CE
Caririaçu,76.89,CE
Cariús,74.64,CE
Carnaubal,78.46,CE
Cascavel,83.86,CE
Catarina,73.74,CE
Catunda,77.13,CE
Caucaia,91.58,CE
Cedro,77.87,CE
Chaval,75.42,CE
Choró,75.02,CE
Chorozinho,79.58,CE
Coreaú,74.01,CE
Crateús,82.12,CE
Crato,88.4,CE
Croatá,73.58,CE
Cruz,84.76,CE
Deputado Irapuan Pinheiro,73.38,CE
Ereré,75.9,CE
Eusébio,94.11,CE
Farias Brito,75.11,CE
Forquilha,81.9,CE
Fortaleza,94.38,CE
Fortim,80.93,CE
Frecheirinha,76.91,CE
General Sampaio,75.28,CE
Graça,73.55,CE
Granja,71.01,CE
Granjeiro,76.94,CE
Groaíras,79.76,CE
Guaiúba,82.38,CE
Guaraciaba do Norte,78.87,CE
Guaramiranga,78.63,CE
Hidrolândia,78.71,CE
Horizonte,88.61,CE
Ibaretama,73.72,CE
Ibiapina,80.6,CE
Ibicuitinga,75.63,CE
Icapuí,81.95,CE
Icó,74.1,CE
Iguatu,82.99,CE
Independência,76.64,CE
Ipaporanga,76.56,CE
Ipaumirim,80.75,CE
Ipu,79.09,CE
Ipueiras,75.31,CE
Iracema,78.35,CE
Irauçuba,79.91,CE
Itaiçaba,81.61,CE
Itaitinga,89.79,CE
Itapajé,81.66,CE
Itapipoca,85.0,CE
Itapiúna,75.28,CE
Itarema,81.74,CE
Itatira,75.45,CE
Jaguaretama,76.71,CE
Jaguaribara,79.9,CE
Jaguaribe,81.79,CE
Jaguaruana,77.71,CE
Jardim,78.99,CE
Jati,78.49,CE
Jijoca de Jericoacoara,85.74,CE
Juazeiro do Norte,89.11,CE
Jucás,75.77,CE
Lavras da Mangabeira,78.65,CE
Limoeiro do Norte,85.72,CE
Madalena,79.09,CE
Maracanaú,92.79,CE
Maranguape,89.16,CE
Marco,82.85,CE
Martinópole,78.14,CE
Massapê,78.08,CE
Mauriti,75.85,CE
Meruoca,83.6,CE
Milagres,78.89,CE
Milhã,81.33,CE
Miraíma,78.27,CE
Missão Velha,79.44,CE
Mombaça,73.43,CE
Monsenhor Tabosa,78.63,CE
Morada Nova,79.17,CE
Moraújo,77.48,CE
Morrinhos,78.09,CE
Mucambo,75.97,CE
Mulungu,84.49,CE
Nova Olinda,83.64,CE
Nova Russas,79.25,CE
Novo Oriente,72.93,CE
Ocara,75.94,CE
Orós,77.29,CE
Pacajus,86.12,CE
Pacatuba,91.37,CE
Pacoti,83.7,CE
Pacujá,79.23,CE
Palhano,77.78,CE
Palmácia,82.22,CE
Paracuru,85.71,CE
Paraipaba,85.8,CE
Parambu,74.11,CE
Paramoti,78.25,CE
Pedra Branca,76.49,CE
Penaforte,84.68,CE
Pentecoste,81.94,CE
Pereiro,79.47,CE
Pindoretama,84.15,CE
Piquet Carneiro,80.32,CE
Pires Ferreira,77.14,CE
Poranga,77.5,CE
Porteiras,78.9,CE
Potengi,74.05,CE
Potiretama,77.15,CE
Quiterianópolis,74.47,CE
Quixadá,82.59,CE
Quixelô,70.88,CE
Quixeramobim,82.23,CE
Quixeré,78.35,CE
Redenção,83.0,CE
Reriutaba,78.27,CE
Russas,84.55,CE
Saboeiro,72.3,CE
Salitre,71.85,CE
Santana do Acaraú,76.53,CE
Santana do Cariri,77.19,CE
Santa Quitéria,78.86,CE
São Benedito,79.81,CE
São Gonçalo do Amarante,87.73,CE
São João do Jaguaribe,79.66,CE
São Luís do Curu,83.2,CE
Senador Pompeu,78.63,CE
Senador Sá,74.96,CE
Sobral,87.12,CE
Solonópole,78.32,CE
Tabuleiro do Norte,81.17,CE
Tamboril,74.9,CE
Tarrafas,73.31,CE
Tauá,79.39,CE
Tejuçuoca,76.64,CE
Tianguá,83.25,CE
Trairi,81.51,CE
Tururu,78.3,CE
Ubajara,81.97,CE
Umari,76.24,CE
Umirim,78.72,CE
Uruburetama,81.99,CE
Uruoca,75.11,CE
Varjota,80.24,CE
Várzea Alegre,78.45,CE
Viçosa do Ceará,77.1,CE
Brasília,97.23,DF
Afonso Cláudio,89.79,ES
Águia Branca,91.47,ES
Água Doce do Norte,85.29,ES
Alegre,91.01,ES
Alfredo Chaves,94.21,ES
Alto Rio Novo,87.27,ES
Anchieta,95.6,ES
Apiacá,90.43,ES
Aracruz,95.0,ES
Atílio Vivácqua,92.56,ES
Baixo Guandu,91.39,ES
Barra de São Francisco,89.23,ES
Boa Esperança,89.32,ES
Bom Jesus do Norte,94.11,ES
Brejetuba,85.65,ES
Cachoeiro de Itapemirim,95.74,ES
Cariacica,95.47,ES
Castelo,94.14,ES
Colatina,94.76,ES
Conceição da Barra,88.72,ES
Conceição do Castelo,92.22,ES
Divino de São Lourenço,89.73,ES
Domingos Martins,92.82,ES
Dores do Rio Preto,88.73,ES
Ecoporanga,85.84,ES
Fundão,93.37,ES
Governador Lindenberg,91.15,ES
Guaçuí,91.16,ES
Guarapari,95.8,ES
Ibatiba,87.91,ES
Ibiraçu,93.6,ES
Ibitirama,87.54,ES
Iconha,94.44,ES
Irupi,89.06,ES
Itaguaçu,91.58,ES
Itapemirim,92.06,ES
Itarana,92.61,ES
Iúna,90.31,ES
Jaguaré,90.08,ES
Jerônimo Monteiro,91.26,ES
João Neiva,93.27,ES
Laranja da Terra,89.32,ES
Linhares,94.12,ES
Mantenópolis,86.15,ES
Marataízes,92.86,ES
Marechal Floriano,93.93,ES
Marilândia,91.46,ES
Mimoso do Sul,90.67,ES
Montanha,87.58,ES
Mucurici,84.97,ES
Muniz Freire,88.13,ES
Muqui,91.91,ES
Nova Venécia,92.31,ES
Pancas,87.26,ES
Pedro Canário,87.05,ES
Pinheiros,88.22,ES
Piúma,95.45,ES
Ponto Belo,86.78,ES
Presidente Kennedy,87.37,ES
Rio Bananal,91.4,ES
Rio Novo do Sul,93.14,ES
Santa Leopoldina,90.2,ES
Santa Maria de Jetibá,93.01,ES
Santa Teresa,94.37,ES
São Domingos do Norte,92.32,ES
São Gabriel da Palha,93.29,ES
São José do Calçado,90.1,ES
São Mateus,92.78,ES
São Roque do Canaã,92.23,ES
Serra,96.12,ES
Sooretama,89.57,ES
Vargem Alta,93.19,ES
Venda Nova do Imigrante,94.67,ES
Viana,94.41,ES
Vila Pavão,90.88,ES
Vila Valério,91.48,ES
Vila Velha,97.44,ES
Vitória,97.76,ES
Abadia de Goiás,94.27,GO
Abadiânia,92.76,GO
Acreúna,90.7,GO
Adelândia,89.78,GO
Água Fria de Goiás,89.07,GO
Água Limpa,90.8,GO
Águas Lindas de Goiás,94.76,GO
Alexânia,91.15,GO
Aloândia,89.05,GO
Alto Horizonte,93.72,GO
Alto Paraíso de Goiás,94.05,GO
Alvorada do Norte,87.2,GO
Amaralina,88.39,GO
Americano do Brasil,88.56,GO
Amorinópolis,86.84,GO
Anápolis,96.21,GO
Anhanguera,97.15,GO
Anicuns,91.86,GO
Aparecida de Goiânia,96.33,GO
Aparecida do Rio Doce,91.55,GO
Aporé,92.8,GO
Araçu,88.88,GO
Aragarças,93.17,GO
Aragoiânia,91.4,GO
Araguapaz,84.12,GO
Arenópolis,89.93,GO
Aruanã,91.29,GO
Aurilândia,89.1,GO
Avelinópolis,88.41,GO
Baliza,89.54,GO
Barro Alto,91.43,GO
Bela Vista de Goiás,94.04,GO
Bom Jardim de Goiás,90.04,GO
Bom Jesus de Goiás,91.93,GO
Bonfinópolis,92.76,GO
Bonópolis,86.76,GO
Brazabrantes,92.17,GO
Britânia,89.44,GO
Buriti Alegre,92.92,GO
Buriti de Goiás,89.89,GO
Buritinópolis,81.18,GO
Cabeceiras,89.97,GO
Cachoeira Alta,91.94,GO
Cachoeira de Goiás,86.33,GO
Cachoeira Dourada,89.52,GO
Caçu,92.1,GO
Caiapônia,90.09,GO
Caldas Novas,95.56,GO
Caldazinha,93.76,GO
Campestre de Goiás,90.17,GO
Campinaçu,88.94,GO
Campinorte,94.25,GO
Campo Alegre de Goiás,94.35,GO
Campo Limpo de Goiás,94.58,GO
Campos Belos,89.4,GO
Campos Verdes,84.52,GO
Carmo do Rio Verde,91.68,GO
Castelândia,81.67,GO
Catalão,96.66,GO
Caturaí,90.14,GO
Cavalcante,84.24,GO
Ceres,95.49,GO
Cezarina,88.57,GO
Chapadão do Céu,96.22,GO
Cidade Ocidental,96.08,GO
Cocalzinho de Goiás,90.91,GO
Colinas do Sul,88.29,GO
Córrego do Ouro,90.98,GO
Corumbá de Goiás,89.88,GO
Corumbaíba,94.55,GO
Cristalina,93.82,GO
Cristianópolis,94.44,GO
Crixás,90.52,GO
Cromínia,92.86,GO
Cumari,88.56,GO
Damianópolis,87.74,GO
Damolândia,89.09,GO
Davinópolis,91.83,GO
Diorama,90.05,GO
Doverlândia,89.21,GO
Edealina,91.48,GO
Edéia,91.35,GO
Estrela do Norte,88.37,GO
Faina,86.41,GO
Fazenda Nova,90.7,GO
Firminópolis,91.24,GO
Flores de Goiás,89.33,GO
Formosa,94.29,GO
Formoso,90.21,GO
Gameleira de Goiás,91.56,GO
Divinópolis de Goiás,86.12,GO
Goianápolis,92.92,GO
Goiandira,94.8,GO
